"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1979","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","428 866 631",""
"1980","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","430 401 173",""
"1981","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","432 300 290",""
"1982","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","433 595 776",""
"1983","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","434 642 374",""
"1984","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","435 506 019",""
"1985","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","436 397 865",""
"1986","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","437 436 691",""
"1987","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","438 635 028",""
"1988","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","439 767 673",""
"1989","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","441 306 667",""
"1990","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","442 924 875",""
"1991","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","444 640 620",""
"1992","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","446 400 257",""
"1993","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","448 204 230",""
"1994","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","449 479 185",""
"1995","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","450 515 723",""
"1996","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","451 483 617",""
"1997","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","452 401 098",""
"1998","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","454 832 076","b"
"1999","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","455 651 847",""
"2000","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","456 520 867",""
"2001","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","458 036 763",""
"2002","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","459 754 707",""
"2003","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","461 902 085",""
"2004","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","464 187 725",""
"2005","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","466 649 901",""
"2006","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","468 856 449",""
"2007","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","471 071 490",""
"2008","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","473 605 253",""
"2009","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","475 735 617","p"
"2010","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","477 270 343","bp"
"2011","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","478 860 871","bp"
"2012","European Economic Area (EU-25 plus IS, LI, NO)","Total","Total","480 322 448","bp"
"1975","European Free Trade Association","Total","Total","10 594 250",""
"1976","European Free Trade Association","Total","Total","10 581 288",""
"1977","European Free Trade Association","Total","Total","10 564 446",""
"1978","European Free Trade Association","Total","Total","10 576 794",""
"1979","European Free Trade Association","Total","Total","10 601 152",""
"1980","European Free Trade Association","Total","Total","10 635 230",""
"1981","European Free Trade Association","Total","Total","10 682 125",""
"1982","European Free Trade Association","Total","Total","10 738 279",""
"1983","European Free Trade Association","Total","Total","10 794 141",""
"1984","European Free Trade Association","Total","Total","10 827 114",""
"1985","European Free Trade Association","Total","Total","10 869 027",""
"1986","European Free Trade Association","Total","Total","10 913 300",""
"1987","European Free Trade Association","Total","Total","10 970 490",""
"1988","European Free Trade Association","Total","Total","11 040 363",""
"1989","European Free Trade Association","Total","Total","11 120 759",""
"1990","European Free Trade Association","Total","Total","11 189 203",""
"1991","European Free Trade Association","Total","Total","11 291 916",""
"1992","European Free Trade Association","Total","Total","11 405 515",""
"1993","European Free Trade Association","Total","Total","11 499 380",""
"1994","European Free Trade Association","Total","Total","11 588 759",""
"1995","European Free Trade Association","Total","Total","11 665 036",""
"1996","European Free Trade Association","Total","Total","11 731 192",""
"1997","European Free Trade Association","Total","Total","11 775 077",""
"1998","European Free Trade Association","Total","Total","11 817 765",""
"1999","European Free Trade Association","Total","Total","11 876 593",""
"2000","European Free Trade Association","Total","Total","11 954 416",""
"2001","European Free Trade Association","Total","Total","12 023 715",""
"2002","European Free Trade Association","Total","Total","12 099 819",""
"2003","European Free Trade Association","Total","Total","12 188 439",""
"2004","European Free Trade Association","Total","Total","12 266 469",""
"2005","European Free Trade Association","Total","Total","12 349 642",""
"2006","European Free Trade Association","Total","Total","12 434 143",""
"2007","European Free Trade Association","Total","Total","12 532 713",""
"2008","European Free Trade Association","Total","Total","12 681 480",""
"2009","European Free Trade Association","Total","Total","12 856 065",""
"2010","European Free Trade Association","Total","Total","12 997 529",""
"2011","European Free Trade Association","Total","Total","13 145 040","b"
"2012","European Free Trade Association","Total","Total","13 296 582","p"
"1975","Iceland","Total","Total","216 695",""
"1976","Iceland","Total","Total","219 262",""
"1977","Iceland","Total","Total","221 046",""
"1978","Iceland","Total","Total","222 552",""
"1979","Iceland","Total","Total","224 522",""
"1980","Iceland","Total","Total","226 948",""
"1981","Iceland","Total","Total","229 327",""
"1982","Iceland","Total","Total","232 182",""
"1983","Iceland","Total","Total","235 537",""
"1984","Iceland","Total","Total","238 416",""
"1985","Iceland","Total","Total","240 606",""
"1986","Iceland","Total","Total","242 203",""
"1987","Iceland","Total","Total","244 157",""
"1988","Iceland","Total","Total","247 561",""
"1989","Iceland","Total","Total","251 919",""
"1990","Iceland","Total","Total","253 785",""
"1991","Iceland","Total","Total","255 866",""
"1992","Iceland","Total","Total","259 727",""
"1993","Iceland","Total","Total","262 386",""
"1994","Iceland","Total","Total","265 064",""
"1995","Iceland","Total","Total","266 978",""
"1996","Iceland","Total","Total","267 958",""
"1997","Iceland","Total","Total","269 874",""
"1998","Iceland","Total","Total","272 381",""
"1999","Iceland","Total","Total","275 712",""
"2000","Iceland","Total","Total","279 049",""
"2001","Iceland","Total","Total","283 361",""
"2002","Iceland","Total","Total","286 575",""
"2003","Iceland","Total","Total","288 471",""
"2004","Iceland","Total","Total","290 570",""
"2005","Iceland","Total","Total","293 577",""
"2006","Iceland","Total","Total","299 891",""
"2007","Iceland","Total","Total","307 672",""
"2008","Iceland","Total","Total","315 459",""
"2009","Iceland","Total","Total","319 368",""
"2010","Iceland","Total","Total","317 630",""
"2011","Iceland","Total","Total","318 452",""
"2012","Iceland","Total","Total","319 575",""
"1975","Liechtenstein","Total","Total","23 745",""
"1976","Liechtenstein","Total","Total","23 947",""
"1977","Liechtenstein","Total","Total","24 169",""
"1978","Liechtenstein","Total","Total","24 715",""
"1979","Liechtenstein","Total","Total","25 340",""
"1980","Liechtenstein","Total","Total","25 809",""
"1981","Liechtenstein","Total","Total","25 215",""
"1982","Liechtenstein","Total","Total","26 130",""
"1983","Liechtenstein","Total","Total","26 380",""
"1984","Liechtenstein","Total","Total","26 512",""
"1985","Liechtenstein","Total","Total","26 680",""
"1986","Liechtenstein","Total","Total","27 076",""
"1987","Liechtenstein","Total","Total","27 399",""
"1988","Liechtenstein","Total","Total","27 714",""
"1989","Liechtenstein","Total","Total","28 181",""
"1990","Liechtenstein","Total","Total","28 452",""
"1991","Liechtenstein","Total","Total","29 032",""
"1992","Liechtenstein","Total","Total","29 386",""
"1993","Liechtenstein","Total","Total","29 868",""
"1994","Liechtenstein","Total","Total","30 310",""
"1995","Liechtenstein","Total","Total","30 629",""
"1996","Liechtenstein","Total","Total","30 923",""
"1997","Liechtenstein","Total","Total","31 143",""
"1998","Liechtenstein","Total","Total","31 320",""
"1999","Liechtenstein","Total","Total","32 015",""
"2000","Liechtenstein","Total","Total","32 426",""
"2001","Liechtenstein","Total","Total","32 863",""
"2002","Liechtenstein","Total","Total","33 525",""
"2003","Liechtenstein","Total","Total","33 863",""
"2004","Liechtenstein","Total","Total","34 294",""
"2005","Liechtenstein","Total","Total","34 600",""
"2006","Liechtenstein","Total","Total","34 905",""
"2007","Liechtenstein","Total","Total","35 168",""
"2008","Liechtenstein","Total","Total","35 356",""
"2009","Liechtenstein","Total","Total","35 589",""
"2010","Liechtenstein","Total","Total","35 894",""
"2011","Liechtenstein","Total","Total","36 149",""
"2012","Liechtenstein","Total","Total","36 475","p"
"1975","Norway","Total","Total","3 997 525",""
"1976","Norway","Total","Total","4 017 101",""
"1977","Norway","Total","Total","4 035 202",""
"1978","Norway","Total","Total","4 051 208",""
"1979","Norway","Total","Total","4 066 134",""
"1980","Norway","Total","Total","4 078 900",""
"1981","Norway","Total","Total","4 092 340",""
"1982","Norway","Total","Total","4 107 063",""
"1983","Norway","Total","Total","4 122 511",""
"1984","Norway","Total","Total","4 134 353",""
"1985","Norway","Total","Total","4 145 845",""
"1986","Norway","Total","Total","4 159 187",""
"1987","Norway","Total","Total","4 175 521",""
"1988","Norway","Total","Total","4 198 289",""
"1989","Norway","Total","Total","4 220 686",""
"1990","Norway","Total","Total","4 233 116",""
"1991","Norway","Total","Total","4 249 830",""
"1992","Norway","Total","Total","4 273 634",""
"1993","Norway","Total","Total","4 299 167",""
"1994","Norway","Total","Total","4 324 815",""
"1995","Norway","Total","Total","4 348 410",""
"1996","Norway","Total","Total","4 369 957",""
"1997","Norway","Total","Total","4 392 714",""
"1998","Norway","Total","Total","4 417 599",""
"1999","Norway","Total","Total","4 445 329",""
"2000","Norway","Total","Total","4 478 497",""
"2001","Norway","Total","Total","4 503 436",""
"2002","Norway","Total","Total","4 524 066",""
"2003","Norway","Total","Total","4 552 252",""
"2004","Norway","Total","Total","4 577 457",""
"2005","Norway","Total","Total","4 606 363",""
"2006","Norway","Total","Total","4 640 219",""
"2007","Norway","Total","Total","4 681 134",""
"2008","Norway","Total","Total","4 737 171",""
"2009","Norway","Total","Total","4 799 252",""
"2010","Norway","Total","Total","4 858 199",""
"2011","Norway","Total","Total","4 920 305",""
"2012","Norway","Total","Total","4 985 870",""
"1975","Switzerland","Total","Total","6 356 285",""
"1976","Switzerland","Total","Total","6 320 978",""
"1977","Switzerland","Total","Total","6 284 029",""
"1978","Switzerland","Total","Total","6 278 319",""
"1979","Switzerland","Total","Total","6 285 156",""
"1980","Switzerland","Total","Total","6 303 573",""
"1981","Switzerland","Total","Total","6 335 243",""
"1982","Switzerland","Total","Total","6 372 904",""
"1983","Switzerland","Total","Total","6 409 713",""
"1984","Switzerland","Total","Total","6 427 833",""
"1985","Switzerland","Total","Total","6 455 896",""
"1986","Switzerland","Total","Total","6 484 834",""
"1987","Switzerland","Total","Total","6 523 413",""
"1988","Switzerland","Total","Total","6 566 799",""
"1989","Switzerland","Total","Total","6 619 973",""
"1990","Switzerland","Total","Total","6 673 850",""
"1991","Switzerland","Total","Total","6 757 188",""
"1992","Switzerland","Total","Total","6 842 768",""
"1993","Switzerland","Total","Total","6 907 959",""
"1994","Switzerland","Total","Total","6 968 570",""
"1995","Switzerland","Total","Total","7 019 019",""
"1996","Switzerland","Total","Total","7 062 354",""
"1997","Switzerland","Total","Total","7 081 346",""
"1998","Switzerland","Total","Total","7 096 465",""
"1999","Switzerland","Total","Total","7 123 537",""
"2000","Switzerland","Total","Total","7 164 444",""
"2001","Switzerland","Total","Total","7 204 055",""
"2002","Switzerland","Total","Total","7 255 653",""
"2003","Switzerland","Total","Total","7 313 853",""
"2004","Switzerland","Total","Total","7 364 148",""
"2005","Switzerland","Total","Total","7 415 102",""
"2006","Switzerland","Total","Total","7 459 128",""
"2007","Switzerland","Total","Total","7 508 739",""
"2008","Switzerland","Total","Total","7 593 494",""
"2009","Switzerland","Total","Total","7 701 856",""
"2010","Switzerland","Total","Total","7 785 806",""
"2011","Switzerland","Total","Total","7 870 134","b"
"2012","Switzerland","Total","Total","7 954 662","p"
"1975","Montenegro","Total","Total",":",""
"1976","Montenegro","Total","Total",":",""
"1977","Montenegro","Total","Total",":",""
"1978","Montenegro","Total","Total",":",""
"1979","Montenegro","Total","Total",":",""
"1980","Montenegro","Total","Total",":",""
"1981","Montenegro","Total","Total",":",""
"1982","Montenegro","Total","Total",":",""
"1983","Montenegro","Total","Total",":",""
"1984","Montenegro","Total","Total",":",""
"1985","Montenegro","Total","Total",":",""
"1986","Montenegro","Total","Total",":",""
"1987","Montenegro","Total","Total",":",""
"1988","Montenegro","Total","Total",":",""
"1989","Montenegro","Total","Total",":",""
"1990","Montenegro","Total","Total",":",""
"1991","Montenegro","Total","Total",":",""
"1992","Montenegro","Total","Total",":",""
"1993","Montenegro","Total","Total",":",""
"1994","Montenegro","Total","Total",":",""
"1995","Montenegro","Total","Total",":",""
"1996","Montenegro","Total","Total",":",""
"1997","Montenegro","Total","Total",":",""
"1998","Montenegro","Total","Total",":",""
"1999","Montenegro","Total","Total",":",""
"2000","Montenegro","Total","Total","612 496",""
"2001","Montenegro","Total","Total","614 791",""
"2002","Montenegro","Total","Total","617 085",""
"2003","Montenegro","Total","Total","619 300",""
"2004","Montenegro","Total","Total","621 258",""
"2005","Montenegro","Total","Total","622 978",""
"2006","Montenegro","Total","Total","623 576",""
"2007","Montenegro","Total","Total","624 896",""
"2008","Montenegro","Total","Total","627 508",""
"2009","Montenegro","Total","Total","630 142",""
"2010","Montenegro","Total","Total","616 411","b"
"2011","Montenegro","Total","Total","619 872",""
"2012","Montenegro","Total","Total","621 240",""
"1975","Croatia","Total","Total","4 500 727",""
"1976","Croatia","Total","Total","4 523 436",""
"1977","Croatia","Total","Total","4 548 432",""
"1978","Croatia","Total","Total","4 570 709",""
"1979","Croatia","Total","Total","4 591 460",""
"1980","Croatia","Total","Total","4 598 095",""
"1981","Croatia","Total","Total","4 601 469","s"
"1982","Croatia","Total","Total","4 621 548","s"
"1983","Croatia","Total","Total","4 646 921","s"
"1984","Croatia","Total","Total","4 669 587","s"
"1985","Croatia","Total","Total","4 690 983","s"
"1986","Croatia","Total","Total","4 711 852","s"
"1987","Croatia","Total","Total","4 731 041","s"
"1988","Croatia","Total","Total","4 748 450","s"
"1989","Croatia","Total","Total","4 761 965","s"
"1990","Croatia","Total","Total","4 772 556","s"
"1991","Croatia","Total","Total","4 782 179","s"
"1992","Croatia","Total","Total","4 595 866","s"
"1993","Croatia","Total","Total","4 555 771","s"
"1994","Croatia","Total","Total","4 645 155","s"
"1995","Croatia","Total","Total","4 658 893","s"
"1996","Croatia","Total","Total","4 581 167","s"
"1997","Croatia","Total","Total","4 533 028","s"
"1998","Croatia","Total","Total","4 536 812","s"
"1999","Croatia","Total","Total","4 527 459","s"
"2000","Croatia","Total","Total","4 497 735","s"
"2001","Croatia","Total","Total","4 438 868","s"
"2002","Croatia","Total","Total","4 444 608",""
"2003","Croatia","Total","Total","4 442 744",""
"2004","Croatia","Total","Total","4 441 733",""
"2005","Croatia","Total","Total","4 443 901",""
"2006","Croatia","Total","Total","4 442 884",""
"2007","Croatia","Total","Total","4 441 238",""
"2008","Croatia","Total","Total","4 436 401",""
"2009","Croatia","Total","Total","4 435 056",""
"2010","Croatia","Total","Total","4 425 747",""
"2011","Croatia","Total","Total","4 412 137",""
"2012","Croatia","Total","Total","4 398 150","p"
"1975","Former Yugoslav Republic of Macedonia, the","Total","Total","1 742 780",""
"1976","Former Yugoslav Republic of Macedonia, the","Total","Total","1 769 890",""
"1977","Former Yugoslav Republic of Macedonia, the","Total","Total","1 797 145",""
"1978","Former Yugoslav Republic of Macedonia, the","Total","Total","1 823 151",""
"1979","Former Yugoslav Republic of Macedonia, the","Total","Total","1 849 388",""
"1980","Former Yugoslav Republic of Macedonia, the","Total","Total","1 878 067",""
"1981","Former Yugoslav Republic of Macedonia, the","Total","Total","1 904 570",""
"1982","Former Yugoslav Republic of Macedonia, the","Total","Total","1 928 856",""
"1983","Former Yugoslav Republic of Macedonia, the","Total","Total","1 954 972",""
"1984","Former Yugoslav Republic of Macedonia, the","Total","Total","1 980 139",""
"1985","Former Yugoslav Republic of Macedonia, the","Total","Total","2 004 709",""
"1986","Former Yugoslav Republic of Macedonia, the","Total","Total","2 029 175",""
"1987","Former Yugoslav Republic of Macedonia, the","Total","Total","2 052 953",""
"1988","Former Yugoslav Republic of Macedonia, the","Total","Total","2 077 056",""
"1989","Former Yugoslav Republic of Macedonia, the","Total","Total","2 100 246",""
"1990","Former Yugoslav Republic of Macedonia, the","Total","Total","1 873 109",""
"1991","Former Yugoslav Republic of Macedonia, the","Total","Total","1 890 872",""
"1992","Former Yugoslav Republic of Macedonia, the","Total","Total","1 908 941",""
"1993","Former Yugoslav Republic of Macedonia, the","Total","Total","2 061 000",""
"1994","Former Yugoslav Republic of Macedonia, the","Total","Total","1 936 741",""
"1995","Former Yugoslav Republic of Macedonia, the","Total","Total","1 957 265",""
"1996","Former Yugoslav Republic of Macedonia, the","Total","Total","1 971 687",""
"1997","Former Yugoslav Republic of Macedonia, the","Total","Total","1 991 398",""
"1998","Former Yugoslav Republic of Macedonia, the","Total","Total","2 002 340",""
"1999","Former Yugoslav Republic of Macedonia, the","Total","Total","2 012 705",""
"2000","Former Yugoslav Republic of Macedonia, the","Total","Total","2 021 578",""
"2001","Former Yugoslav Republic of Macedonia, the","Total","Total","2 031 112",""
"2002","Former Yugoslav Republic of Macedonia, the","Total","Total","2 038 651",""
"2003","Former Yugoslav Republic of Macedonia, the","Total","Total","2 023 654",""
"2004","Former Yugoslav Republic of Macedonia, the","Total","Total","2 029 892",""
"2005","Former Yugoslav Republic of Macedonia, the","Total","Total","2 035 196",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","Total","2 038 514",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Total","2 041 941",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Total","2 045 177",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Total","2 048 619",""
"2010","Former Yugoslav Republic of Macedonia, the","Total","Total","2 052 722",""
"2011","Former Yugoslav Republic of Macedonia, the","Total","Total","2 057 284",""
"2012","Former Yugoslav Republic of Macedonia, the","Total","Total","2 059 794","p"
"1975","Serbia","Total","Total",":",""
"1976","Serbia","Total","Total",":",""
"1977","Serbia","Total","Total",":",""
"1978","Serbia","Total","Total",":",""
"1979","Serbia","Total","Total",":",""
"1980","Serbia","Total","Total",":",""
"1981","Serbia","Total","Total",":",""
"1982","Serbia","Total","Total",":",""
"1983","Serbia","Total","Total",":",""
"1984","Serbia","Total","Total",":",""
"1985","Serbia","Total","Total",":",""
"1986","Serbia","Total","Total",":",""
"1987","Serbia","Total","Total",":",""
"1988","Serbia","Total","Total",":",""
"1989","Serbia","Total","Total",":",""
"1990","Serbia","Total","Total",":",""
"1991","Serbia","Total","Total",":",""
"1992","Serbia","Total","Total",":",""
"1993","Serbia","Total","Total",":",""
"1994","Serbia","Total","Total",":",""
"1995","Serbia","Total","Total",":",""
"1996","Serbia","Total","Total",":",""
"1997","Serbia","Total","Total",":",""
"1998","Serbia","Total","Total",":",""
"1999","Serbia","Total","Total","7 552 850",""
"2000","Serbia","Total","Total","7 527 952",""
"2001","Serbia","Total","Total","7 504 739",""
"2002","Serbia","Total","Total","7 502 126",""
"2003","Serbia","Total","Total","7 490 918",""
"2004","Serbia","Total","Total","7 470 263",""
"2005","Serbia","Total","Total","7 456 050",""
"2006","Serbia","Total","Total","7 425 487",""
"2007","Serbia","Total","Total","7 397 651",""
"2008","Serbia","Total","Total","7 365 507",""
"2009","Serbia","Total","Total","7 334 937",""
"2010","Serbia","Total","Total","7 306 677",""
"2011","Serbia","Total","Total","7 276 195",""
"2012","Serbia","Total","Total","7 241 295","p"
"1975","Turkey","Total","Total","39 529 218",""
"1976","Turkey","Total","Total","40 281 507",""
"1977","Turkey","Total","Total","41 102 443",""
"1978","Turkey","Total","Total","41 996 129",""
"1979","Turkey","Total","Total","42 967 253",""
"1980","Turkey","Total","Total","44 021 146",""
"1981","Turkey","Total","Total","45 023 450",""
"1982","Turkey","Total","Total","46 085 508",""
"1983","Turkey","Total","Total","47 210 448",""
"1984","Turkey","Total","Total","48 401 689",""
"1985","Turkey","Total","Total","49 662 958",""
"1986","Turkey","Total","Total","50 695 548",""
"1987","Turkey","Total","Total","51 791 212",""
"1988","Turkey","Total","Total","52 953 586",""
"1989","Turkey","Total","Total","54 186 642",""
"1990","Turkey","Total","Total","55 494 711",""
"1991","Turkey","Total","Total","56 714 051",""
"1992","Turkey","Total","Total","57 835 076",""
"1993","Turkey","Total","Total","58 958 565",""
"1994","Turkey","Total","Total","60 079 060",""
"1995","Turkey","Total","Total","61 203 584",""
"1996","Turkey","Total","Total","62 337 617",""
"1997","Turkey","Total","Total","63 484 661",""
"1998","Turkey","Total","Total","64 641 675",""
"1999","Turkey","Total","Total","65 786 563",""
"2000","Turkey","Total","Total","66 889 425",""
"2001","Turkey","Total","Total","67 895 581",""
"2002","Turkey","Total","Total","68 838 069",""
"2003","Turkey","Total","Total","69 770 026",""
"2004","Turkey","Total","Total","70 692 009",""
"2005","Turkey","Total","Total","71 610 009",""
"2006","Turkey","Total","Total","72 519 974",""
"2007","Turkey","Total","Total","69 689 256","b"
"2008","Turkey","Total","Total","70 586 256",""
"2009","Turkey","Total","Total","71 517 100",""
"2010","Turkey","Total","Total","72 561 312",""
"2011","Turkey","Total","Total","73 722 988",""
"2012","Turkey","Total","Total","74 724 269",""
"1975","Albania","Total","Total","2 377 635",""
"1976","Albania","Total","Total","2 432 027",""
"1977","Albania","Total","Total","2 485 025",""
"1978","Albania","Total","Total","2 542 066",""
"1979","Albania","Total","Total","2 590 466",""
"1980","Albania","Total","Total","2 645 198",""
"1981","Albania","Total","Total","2 698 795",""
"1982","Albania","Total","Total","2 753 316",""
"1983","Albania","Total","Total","2 815 239",""
"1984","Albania","Total","Total","2 872 681",""
"1985","Albania","Total","Total","2 936 177",""
"1986","Albania","Total","Total","2 993 347",""
"1987","Albania","Total","Total","3 051 923",""
"1988","Albania","Total","Total","3 115 286",""
"1989","Albania","Total","Total","3 169 386",""
"1990","Albania","Total","Total","3 286 500",""
"1991","Albania","Total","Total","3 259 814",""
"1992","Albania","Total","Total","3 190 103",""
"1993","Albania","Total","Total","3 167 478",""
"1994","Albania","Total","Total","3 220 310",""
"1995","Albania","Total","Total","3 248 836",""
"1996","Albania","Total","Total","3 283 000",""
"1997","Albania","Total","Total","3 324 317",""
"1998","Albania","Total","Total","3 354 341",""
"1999","Albania","Total","Total","3 373 445",""
"2000","Albania","Total","Total","3 058 497",""
"2001","Albania","Total","Total","3 063 318",""
"2002","Albania","Total","Total","3 084 148",""
"2003","Albania","Total","Total","3 102 781",""
"2004","Albania","Total","Total","3 119 548",""
"2005","Albania","Total","Total","3 134 975",""
"2006","Albania","Total","Total","3 149 143",""
"2007","Albania","Total","Total","3 152 625",""
"2008","Albania","Total","Total","3 170 050",""
"2009","Albania","Total","Total","3 184 701",""
"2010","Albania","Total","Total",":",""
"2011","Albania","Total","Total","2 831 741",""
"2012","Albania","Total","Total",":",""
"1975","Andorra","Total","Total",":",""
"1976","Andorra","Total","Total",":",""
"1977","Andorra","Total","Total",":",""
"1978","Andorra","Total","Total",":",""
"1979","Andorra","Total","Total",":",""
"1980","Andorra","Total","Total",":",""
"1981","Andorra","Total","Total",":",""
"1982","Andorra","Total","Total",":",""
"1983","Andorra","Total","Total",":",""
"1984","Andorra","Total","Total",":",""
"1985","Andorra","Total","Total",":",""
"1986","Andorra","Total","Total","44 593",""
"1987","Andorra","Total","Total","46 976",""
"1988","Andorra","Total","Total","48 451",""
"1989","Andorra","Total","Total","50 528",""
"1990","Andorra","Total","Total","50 887",""
"1991","Andorra","Total","Total","54 507",""
"1992","Andorra","Total","Total","59 048",""
"1993","Andorra","Total","Total","61 599",""
"1994","Andorra","Total","Total","65 226",""
"1995","Andorra","Total","Total","64 311",""
"1996","Andorra","Total","Total","63 859",""
"1997","Andorra","Total","Total","64 479",""
"1998","Andorra","Total","Total","65 306",""
"1999","Andorra","Total","Total","65 877",""
"2000","Andorra","Total","Total","65 971",""
"2001","Andorra","Total","Total","65 844",""
"2002","Andorra","Total","Total","66 334",""
"2003","Andorra","Total","Total","67 159",""
"2004","Andorra","Total","Total","72 320",""
"2005","Andorra","Total","Total","76 875",""
"2006","Andorra","Total","Total","78 549",""
"2007","Andorra","Total","Total","81 222",""
"2008","Andorra","Total","Total","83 137",""
"2009","Andorra","Total","Total","84 484",""
"2010","Andorra","Total","Total","84 082",""
"2011","Andorra","Total","Total","85 015",""
"2012","Andorra","Total","Total",":",""
"1975","Belarus","Total","Total",":",""
"1976","Belarus","Total","Total",":",""
"1977","Belarus","Total","Total",":",""
"1978","Belarus","Total","Total",":",""
"1979","Belarus","Total","Total",":",""
"1980","Belarus","Total","Total",":",""
"1981","Belarus","Total","Total",":",""
"1982","Belarus","Total","Total",":",""
"1983","Belarus","Total","Total",":",""
"1984","Belarus","Total","Total",":",""
"1985","Belarus","Total","Total",":",""
"1986","Belarus","Total","Total",":",""
"1987","Belarus","Total","Total",":",""
"1988","Belarus","Total","Total",":",""
"1989","Belarus","Total","Total",":",""
"1990","Belarus","Total","Total",":",""
"1991","Belarus","Total","Total",":",""
"1992","Belarus","Total","Total",":",""
"1993","Belarus","Total","Total",":",""
"1994","Belarus","Total","Total",":",""
"1995","Belarus","Total","Total",":",""
"1996","Belarus","Total","Total",":",""
"1997","Belarus","Total","Total",":",""
"1998","Belarus","Total","Total",":",""
"1999","Belarus","Total","Total",":",""
"2000","Belarus","Total","Total","10 019 480",""
"2001","Belarus","Total","Total","9 990 435",""
"2002","Belarus","Total","Total","9 950 941",""
"2003","Belarus","Total","Total","9 898 590",""
"2004","Belarus","Total","Total","9 849 062",""
"2005","Belarus","Total","Total","9 800 073",""
"2006","Belarus","Total","Total","9 750 540",""
"2007","Belarus","Total","Total","9 714 461",""
"2008","Belarus","Total","Total","9 689 770",""
"2009","Belarus","Total","Total","9 671 912",""
"2010","Belarus","Total","Total","9 480 178",""
"2011","Belarus","Total","Total","9 481 193",""
"2012","Belarus","Total","Total","9 465 150",""
"1975","Bosnia and Herzegovina","Total","Total","3 950 628",""
"1976","Bosnia and Herzegovina","Total","Total","4 004 830",""
"1977","Bosnia and Herzegovina","Total","Total","4 059 247",""
"1978","Bosnia and Herzegovina","Total","Total","4 110 203",""
"1979","Bosnia and Herzegovina","Total","Total","4 157 746",""
"1980","Bosnia and Herzegovina","Total","Total","4 136 941",""
"1981","Bosnia and Herzegovina","Total","Total","4 114 030",""
"1982","Bosnia and Herzegovina","Total","Total","4 158 361",""
"1983","Bosnia and Herzegovina","Total","Total","4 203 208",""
"1984","Bosnia and Herzegovina","Total","Total","4 248 746",""
"1985","Bosnia and Herzegovina","Total","Total","4 293 863",""
"1986","Bosnia and Herzegovina","Total","Total","4 337 350",""
"1987","Bosnia and Herzegovina","Total","Total","4 379 545",""
"1988","Bosnia and Herzegovina","Total","Total","4 421 373",""
"1989","Bosnia and Herzegovina","Total","Total","4 461 498",""
"1990","Bosnia and Herzegovina","Total","Total","4 499 203",""
"1991","Bosnia and Herzegovina","Total","Total","4 517 921",""
"1992","Bosnia and Herzegovina","Total","Total",":",""
"1993","Bosnia and Herzegovina","Total","Total",":",""
"1994","Bosnia and Herzegovina","Total","Total",":",""
"1995","Bosnia and Herzegovina","Total","Total",":",""
"1996","Bosnia and Herzegovina","Total","Total",":",""
"1997","Bosnia and Herzegovina","Total","Total","3 727 439",""
"1998","Bosnia and Herzegovina","Total","Total","3 549 736",""
"1999","Bosnia and Herzegovina","Total","Total",":",""
"2000","Bosnia and Herzegovina","Total","Total","3 753 085","s"
"2001","Bosnia and Herzegovina","Total","Total","3 789 717","s"
"2002","Bosnia and Herzegovina","Total","Total","3 813 167","s"
"2003","Bosnia and Herzegovina","Total","Total","3 830 349","s"
